oldindex,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,fall
1,1.3213429256594722,-0.41966426858513195,0.6426858513189453,0.17571884984025554,-0.08626198083067083,-0.04792332268370611,0.0
2,0.913669064748202,-0.65947242206235,-0.05515587529975985,0.10117145899893498,-0.09584664536741228,-0.08200212992545258,0.0
3,0.9832134292565939,0.023980815347721673,0.4580335731414866,-0.008519701810436597,-0.06176783812566544,-0.12779552715654952,0.0
4,1.422062350119905,0.7553956834532376,1.1918465227817743,-0.10543130990415339,-0.06496272630457955,-0.1352502662406816,0.0
5,1.4676258992805753,1.2158273381294964,1.5467625899280577,-0.18849840255591044,-0.10862619808306695,-0.10010649627263046,0.0
6,1.9736211031175062,1.170263788968825,0.9880095923261392,-0.26091586794462207,-0.1618743343982958,-0.04259850905218321,0.0
7,2.613908872901678,0.9472422062350121,0.8776978417266186,-0.3013844515441959,-0.15654952076677375,0.005324813631522929,0.0
8,2.412470023980816,1.0983213429256593,1.2565947242206235,-0.3194888178913738,-0.16613418530351431,0.009584664536741228,0.0
9,2.129496402877698,1.1702637889688248,0.8129496402877698,-0.3024494142705005,-0.20660276890308804,0.04046858359957395,0.0
10,1.182254196642686,0.709832134292566,0.709832134292566,-0.24387646432374865,-0.20766773162939334,0.0969116080937168,0.0
11,1.558752997601918,-0.33093525179856087,-0.05755395683453246,-0.16826411075612357,-0.2012779552715651,0.13951011714589984,0.0
12,0.9160671462829741,-0.7410071942446042,-0.6330935251798562,-0.10649627263045791,-0.17358892438764606,0.09052183173588924,0.0
13,0.41247002398081545,-0.5923261390887293,-1.448441247002398,-0.06709265175718859,-0.1469648562300323,0.04046858359957409,0.0
14,-0.24220623501199068,-0.08153477218225413,-1.7146282973621103,-0.053248136315228844,-0.08626198083067127,0.015974440894568703,0.0
15,-0.769784172661871,0.13669064748201443,-2.2733812949640284,-0.034078807241746834,-0.017039403620873195,0.0330138445154419,0.0
16,-0.8129496402877692,0.05275779376498768,-2.2254196642685855,-0.010649627263045414,0.07880724174653775,0.044728434504792386,0.0
17,-0.9160671462829737,0.4460431654676258,-2.2086330935251777,0.010649627263045414,0.14376996805111997,0.011714589989350321,0.0
18,-0.935251798561151,1.0167865707434052,-2.6738609112709852,0.04366347177848806,0.2161874334398295,0.00851970181043668,0.0
19,-0.892086330935252,1.2805755395683454,-2.1247002398081545,0.08413205537806157,0.324813631522896,0.055378061767838105,0.0
20,-1.129496402877698,1.1558752997601927,-1.8489208633093508,0.1352502662406816,0.39403620873269496,0.0947816826411075,0.0
21,-1.9256594724220624,1.0671462829736216,-1.7362110311750598,0.18423855165069236,0.45367412140575114,0.1022364217252396,0.0
22,-2.839328537170264,1.2110311750599507,-1.074340527577938,0.23109691160809365,0.5324813631522889,0.12673056443024489,0.0
23,-2.6906474820143886,0.8681055155875299,-0.13429256594724137,0.2683706070287541,0.5921192758253468,0.19595314164004268,0.0
24,-1.3812949640287764,0.35251798561151304,1.0791366906474806,0.268370607028754,0.605963791267305,0.24920127795527158,0.0
25,1.3741007194244599,-0.6906474820143895,1.5275779376498804,0.2385516506922257,0.5697550585729501,0.2917997870074547,0.0
26,2.6474820143884896,-2.0527577937649895,3.026378896882493,0.17358892438764642,0.5282215122470713,0.30244941427050054,0.0
27,2.3237410071942444,-3.589928057553956,3.4268585131894493,0.08306709265175721,0.3940362087326944,0.2822151224707137,0.0
28,1.853717026378897,-4.568345323741007,1.9040767386091133,0.012779552715654952,0.2779552715654952,0.15867944621938213,0.0
29,0.7937649880095924,-3.7434052757793763,1.3453237410071939,-0.057507987220447254,0.27369542066027697,-0.03514376996805102,0.0
30,-0.011990407673860948,-2.9400479616306954,2.5251798561151064,-0.11501597444089462,0.2779552715654951,-0.11501597444089429,0.0
31,-0.3597122302158273,-2.3261390887290165,2.1798561151079148,-0.1352502662406816,0.18956336528221512,-0.175718849840256,0.0
32,-0.9712230215827338,-0.9184652278177463,1.760191846522782,-0.13205537806176781,0.1395101171458999,-0.2811501597444088,0.0
33,-0.9616306954436452,0.9496402877697836,2.047961630695444,-0.101171458998935,0.12779552715654957,-0.3397231096911608,0.0
34,-0.43165467625899256,2.393285371702639,2.2446043165467624,-0.034078807241746514,0.10010649627263046,-0.32268370607028757,0.0
35,-0.41726618705036,3.37410071942446,1.4316546762589928,0.05537806176783812,0.04046858359957406,-0.26943556975505856,0.0
36,-1.043165467625899,3.7697841726618706,0.8537170263788969,0.12886048988285398,0.023429179978700754,-0.1448349307774228,0.0
37,-0.5707434052757794,3.1486810551558753,0.7913669064748197,0.1821086261980831,0.03194888178913735,0.0021299254526091008,0.0
38,0.02637889688249384,2.0695443645083933,0.9688249400479618,0.2225772097976571,0.017039403620873195,0.10543130990415339,0.0
39,0.7817745803357314,0.7625899280575537,0.6043165467625897,0.23855165069222584,-0.020234291799786974,0.1629392971246007,0.0
40,1.117505995203837,-0.36930455635491555,0.38369304556355033,0.22257720979765716,-0.04153354632587858,0.1884984025559105,0.0
41,1.422062350119904,-1.143884892086331,-0.13429256594724315,0.18530351437699677,-0.06815761448349311,0.18956336528221518,0.0
42,1.5755395683453237,-1.5635491606714629,-0.8657074340527569,0.1352502662406816,-0.07028753993610215,0.15335463258785942,0.0
43,1.2446043165467628,-1.6570743405275778,-0.9496402877697854,0.08093716719914812,-0.04898828541001066,0.11501597444089462,0.0
44,1.3860911270983207,-2.129496402877698,-1.1918465227817743,0.03407880724174639,-0.041533546325878634,0.10117145899893487,0.0
45,1.3429256594724226,-2.5107913669064748,-0.9064748201438846,0.004259850905218299,-0.017039403620873306,0.0457933972310971,0.0
46,1.0239808153477217,-2.4892086330935257,-1.1462829736211035,-0.008519701810436597,-0.01384451544195947,-0.04153354632587858,0.0
47,0.4460431654676258,-1.7721822541966423,-1.5707434052757794,-0.005324813631522929,0.004259850905218299,-0.13205537806176781,0.0
48,-0.12709832134292576,-0.7889688249400475,-1.333333333333333,0.004259850905218299,0.04579339723109688,-0.18423855165069236,0.0
49,-0.39808153477218244,-0.23741007194244634,-1.6618705035971222,0.021299254526091493,0.059637912673056515,-0.19275825346112885,0.0
50,-0.3860911270983207,-0.12470023980815448,-1.37410071942446,0.046858359957401285,0.11288604898828536,-0.1799787007454739,0.0
51,-0.14388489208633093,-0.09352517985611364,-0.8129496402877701,0.04898828541001077,0.14270500532481367,-0.18743343982960597,0.0
52,-0.20623501199040817,0.3884892086330929,-0.565947242206235,0.03514376996805124,0.1352502662406816,-0.20234291799787,0.0
53,-0.3812949640287764,0.8752997601918464,-0.41007194244604284,0.020234291799787085,0.13418530351437696,-0.187433439829606,0.0
54,-0.3213429256594731,1.071942446043166,-0.3573141486810556,0.008519701810436597,0.1352502662406816,-0.1586794462193823,0.0
55,-0.5299760191846521,1.244604316546761,-0.36211031175059905,-0.009584664536741228,0.12886048988285403,-0.126730564430245,0.0
